0_ns,8_ns,12_ns,16_ns,20_ns,24_ns
-1.27341417,4.300197751,5.40804931,8.6411594,10.3415211,11.22284696
-0.543038593,1.66131211,5.15691821,6.231592462,10.60660729,10.56149134
1.172648068,3.718951609,7.644424504,9.206644795,8.762431453,12.39273636
0.709045385,3.074976955,5.534711016,8.163825466,9.678157819,10.18238059
0.13367794,2.868023717,6.240922863,9.369041295,10.86151578,9.569284289
-0.599979368,2.87453642,5.258747425,6.942877735,11.1249774,10.48386494
-0.696868368,2.898496845,6.277778753,9.582862216,11.5590714,12.05298494
-0.364557393,3.066672639,5.821519757,8.586061904,11.47693584,12.3033455
0.999206492,1.422506865,4.883319509,7.09388468,10.69779725,10.11144065
0.339147448,2.784056169,6.775106658,8.252939706,11.13373548,11.63771163
1.39305987,4.779270908,5.325663356,7.714498748,10.61244803,10.76767
2.11256231,2.061074406,3.742964212,9.151992018,10.70945798,10.73386643
-0.333091534,3.153795098,6.144670056,8.816783894,12.04724582,11.33346141
0.684409889,1.549439317,6.316012135,9.096085025,11.7768831,11.25881582
0.607208233,4.278227175,4.717010015,8.094071704,11.18683516,9.782148615
0.056885541,3.210923001,5.998665041,9.3782141,11.89730541,12.60599096
0.670835662,3.842122502,6.552843801,6.98899704,11.40631608,10.38433279
1.242162726,4.321185767,7.447981739,7.562823719,11.15258816,9.852995818
0.155872835,2.873758047,6.588185245,8.099173325,11.70989099,12.26828998
0.895884588,4.169777046,7.196079039,8.3348371,11.56239043,10.9112224
0.728182013,1.728186145,5.356521523,7.312722721,9.205957222,11.80544355
0.517053765,1.992148874,5.821713834,8.707973923,9.806482408,11.92998721
1.062810748,4.281513033,7.358674745,8.884562235,10.53374445,10.25005847
0.84984725,2.951201784,4.931009018,8.419188122,11.56077628,10.35592513
0.285341672,2.94186135,7.806830463,6.696943282,9.949376532,10.01251049
-0.048637895,3.739203865,6.87637267,6.332660592,9.580124983,9.940801913
-0.847102433,4.236100907,6.287195306,8.888384813,12.25279572,10.06975525
-1.700992837,2.280964589,6.103404628,10.86649515,11.25049784,10.71419661
-0.418691342,2.123922508,7.065533826,8.885509213,12.18315218,11.28146845
-0.840897373,4.230790834,5.897425691,7.034396045,10.67185563,9.704525825
-2.439074464,3.864746944,5.658557775,7.545888938,12.48128468,12.21173705
1.80308678,2.618630528,6.866308283,8.986197023,10.68363982,12.05179081
1.44369113,3.269235348,3.733876016,7.386201754,12.00372654,10.1901233
-1.092650512,2.527821369,6.582977787,7.587936987,11.83436381,10.3666439
-1.369146691,1.654679198,6.699120044,6.952207515,10.57675139,11.18873653
-0.533966316,1.952896189,5.781794027,7.118293999,10.82973751,11.57407985
-0.543810353,3.824549388,6.821663215,8.779239488,9.707586328,12.68824843
0.114661501,5.514158045,6.979685725,7.414027218,11.96540912,10.92013321
1.916343254,1.696507013,6.583153737,9.042705112,10.43252779,12.13282538
1.77803394,2.514338381,5.342256428,7.973344444,9.11730166,9.207358355
0.188222316,3.96966587,6.215838506,9.031804063,10.42726189,10.72116827
0.998833745,5.362415882,4.239304569,8.362267792,11.74884395,10.70000011
1.217513315,3.578915589,4.743784167,5.960296139,11.44822858,11.5755683
-2.495728424,1.833630838,6.307885824,8.6232454,11.76911002,12.26900457
0.10997499,2.472568764,8.259122455,6.682128096,12.50216848,11.23202162
0.947618446,4.575359296,5.93809383,7.684045533,10.34319686,10.72867256
1.224027621,4.658869486,5.701213524,8.511327793,12.56622858,11.68272915
-0.074064318,1.362930297,5.973168212,7.160304745,10.75084341,11.39667969
-2.213551263,3.203840217,7.834556572,7.853851877,10.63669416,10.29233117
-0.359314729,2.139032286,5.906958344,9.582840573,10.48317483,9.977764265
0.108682771,2.11471697,5.079373832,7.958519197,9.863745224,11.17979669
-0.121240909,3.605859983,8.173346455,6.21911389,9.100033271,13.6091208
2.311134682,3.226953637,4.836890799,8.822288619,11.83734989,10.05052186
-0.081459596,6.424962807,4.952095141,8.193006746,10.6803888,10.44137981
-1.385993098,3.146148662,5.343262353,8.637498391,10.96966034,12.65420552
0.250367284,4.836931844,5.32396767,7.861521275,12.12690153,11.72608147
-1.634304207,1.600534823,4.788380683,8.962580495,10.63411572,9.825374142
