0_ns,8_ns,12_ns,16_ns,20_ns,24_ns
2.730787662,3.677107728,4.3172013,4.522640661,4.950392182,4.997928147
2.858401584,3.675254706,4.397457452,4.516734955,4.844311886,4.982625816
2.588802491,3.675597287,4.491570289,4.616755351,4.949353228,5.136610609
2.831421475,3.864259897,4.458016785,4.704416525,5.15560687,5.058928815
2.798758292,3.608734907,4.211516342,4.63640085,4.911813138,5.082148655
2.847065284,3.809129862,4.339382836,4.623963544,4.99796706,4.89543037
2.896369888,3.61604667,4.396966109,4.500464783,4.877534554,5.021336993
2.762992299,3.604098159,4.420358625,4.447738666,5.123944644,5.125552917
2.907171884,3.641513397,4.396370779,4.707335805,4.90288073,4.998502741
2.806295533,3.685746534,4.472046489,4.619898426,5.022124031,5.033067208
2.75383306,3.77275642,4.617787597,4.565134128,4.96208372,4.917735681
2.804768935,3.575792139,4.159098172,4.716063242,5.005318177,5.190108697
2.982485611,3.642436714,4.374897858,4.711824842,4.979748762,5.038495571
2.954650425,3.782604152,4.539686275,4.648496639,5.07567579,4.975158177
2.795049488,3.581828699,4.431834054,4.715097462,5.242363188,4.871066514
2.77111955,3.646820643,4.373423373,4.488013132,5.100933748,4.988267507
2.980183751,3.682156379,4.416869005,4.701449086,4.940137197,4.785339491
2.745800466,3.951240014,4.552069226,4.840268785,5.092311589,5.095282317
2.826032353,3.635915064,4.354774349,4.526622568,5.077222334,5.047052336
2.797614957,3.494395639,4.333533039,4.577130974,5.159033974,5.042351575
2.915562461,3.582165718,4.357799399,4.668311705,5.198160115,4.956057276
2.868401168,3.652546198,4.488868135,4.465808045,4.831792065,5.035378715
2.925208173,3.817230709,4.311252375,4.564057763,5.027352082,5.094211576
2.887267817,3.550185875,4.448719435,4.775139117,5.002280043,5.130357833
2.8951489,3.638824738,4.362079222,4.472565324,4.994811233,4.874256487
2.804949688,3.602783826,4.4442114,4.54519149,4.927826042,4.96133067
2.78526079,3.765004748,4.244580485,4.630341255,5.099850092,5.254503216
2.783957505,3.616372351,4.456201693,4.641947781,4.952089302,5.045267701
2.708829921,3.711663187,4.392270522,4.606281834,4.918566531,5.149301537
2.846067443,3.608585436,4.283174705,4.704607678,5.050397992,4.951895851
2.939837018,3.651067285,4.406232568,4.636103099,4.976786784,5.240093612
2.676224349,3.812882738,4.235389941,4.745934748,4.92593825,5.019451312
2.708670922,3.791987222,4.567360989,4.586429013,5.052082664,4.858893578
2.948266499,3.465504321,4.399595112,4.453466422,5.071786211,4.946129234
2.685161519,3.586940665,4.290959517,4.6385834,4.945575144,5.060411311
2.758607519,3.542652705,4.4937324,4.747192362,5.059721807,5.070406323
2.950475,3.57109275,4.432259271,4.452043566,5.014713326,4.876708303
2.962475696,3.713872083,4.496063032,4.741065866,5.010616773,4.941171279
2.908743537,3.447905584,4.263909136,4.63274778,4.962545905,4.881705881
2.900555633,3.872646025,4.425591435,4.60792218,5.284787912,5.076177429
